"BaseDatos","Usuario","Roles","PermisosResumidos","TotalPermisos"
"siniestros-imcruz-prd","componentesprod","db_owner","CONNECT (1)","1"
"siniestros-imcruz-prd","dbo","db_owner","CONNECT (1)","1"
"siniestros-imcruz-prd","guest","","","1"
"siniestros-imcruz-prd","INFORMATION_SCHEMA","","","1"
"siniestros-imcruz-prd","sys","","","1"
"siniestros-inchcape","componentesprod","db_owner","CONNECT (1)","1"
"siniestros-inchcape","dbo","db_owner","CONNECT (1)","1"
"siniestros-inchcape","ecordova","","CONNECT (1)","1"
"siniestros-inchcape","guest","","","1"
"siniestros-inchcape","INFORMATION_SCHEMA","","","1"
"siniestros-inchcape","mcobos","","CONNECT (1)","1"
"siniestros-inchcape","sys","","","1"
"siniestros-porsche","componentesProd","db_owner","CONNECT (1)","1"
"siniestros-porsche","dbo","db_owner","CONNECT (1)","1"
"siniestros-porsche","guest","","","1"
"siniestros-porsche","INFORMATION_SCHEMA","","","1"
"siniestros-porsche","sys","","","1"
"Valores","componentesProd","db_owner","CONNECT (1)","1"
"Valores","dbo","db_owner","CONNECT (1)","1"
"Valores","guest","","","1"
"Valores","INFORMATION_SCHEMA","","","1"
"Valores","readQuery","","CONNECT (1)","1"
"Valores","sys","","","1"
"ventas-inchcape-log","cberruz","","CONNECT (1)","1"
"ventas-inchcape-log","componentesprod","db_owner","CONNECT (1)","1"
"ventas-inchcape-log","dbo","db_owner","CONNECT (1)","1"
"ventas-inchcape-log","eavalos","","CONNECT (1)","1"
"ventas-inchcape-log","ecordova","","CONNECT (1)","1"
"ventas-inchcape-log","guest","","","1"
"ventas-inchcape-log","INFORMATION_SCHEMA","","","1"
"ventas-inchcape-log","lmartinez","","CONNECT (1)","1"
"ventas-inchcape-log","sys","","","1"
